taxon,strain,accession,
Streptomyces regensis                   ,NRRL B-11479T            ,DQ026649,
Streptomyces resistomycificus           ,DSM 40133T               ,AJ310926,
Streptomyces reticuliscabiei            ,CFBP 4531T,AJ007428,
Streptomyces rhizosphaericus            ,A10P1T                   ,AJ391834,
Streptomyces rimosus subsp. rimosus     ,JCM 4667T                 ,AB045883,
Streptomyces rishiriensis               ,NRRL B-3239T             ,EF178682,
Streptomyces rochei                     ,NRRL B-1559T             ,EF626598,
Streptomyces roseiscleroticus           ,CGMCC 4.1846T          ,AY999893,
Streptomyces roseochromogenus           ,NBRC 13080T              ,AB184297   ,
Streptomyces roseodiastaticus           ,CGMCC 4.1867T          ,AY999880,
Streptomyces roseoflavus                ,NBRC 13439T              ,AB184403   ,
Streptomyces roseofulvus                ,CGMCC 4.1847T          ,AY999872,
Streptomyces roseolilacinus             ,NBRC 12815T              ,AB184167   ,
Streptomyces roseolus                   ,NBRC 12816T              ,AB184168   ,
Streptomyces roseosporus                ,CGMCC 4.1871T          ,AY999896,
Streptomyces roseoverticillatus         ,NRRL B-1993T             ,HQ650807,
Streptomyces roseoviolaceus             ,ISP 5277T                ,AJ399484,
Streptomyces roseoviridis               ,NBRC 12911T              ,AB184239   ,
Streptomyces ruanii                    ,ISP 5276T            ,EF408737,
Streptomyces ruber                      ,NBRC 14600T          ,AB184604,
Streptomyces rubidus                    ,13C15T                   ,AY876941,
